instance-num,avg-concorde,avg-mcts,avg-gap(%),beat-times,match-times,miss-times,running-time(s)
20,3.8305553738,3.8302688755000003,-0.007493015685456554,1094,8906,0,470.6300048828125
50,5.691775491,5.6905720963,-0.021177288265087763,3682,6318,0,1178.3599853515625
100,7.7644654842000005,7.7631155791,-0.01781109450759301,6404,2323,1273,2363.070068359375
